Customer,Gender,Age,Status,Income,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
1725,Male,From 20 to 29,Self-Employed,"Less than $25,000",Weekly,Dine in,Below 30 minutes,No,Coffee,Less than $10,4,4,2,2,2,2,3,Social Media,Yes
1726,Male,Below 20,Housewife,"$100,000-$150,000",Daily,Drive-thru,More than 3 hours,Yes,Coffee,More than $20,3,2,3,3,1,2,5,Social Media;Through friends and word of mouth,Yes
1727,Male,From 30 to 39,Self-Employed,"Less than $25,000",Monthly,Take away,More than 3 hours,No,Coffee,Between $10-$15,2,5,4,5,5,1,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1728,Female,Below 20,Employed,"$25,000 - $50,000",Monthly,Drive-thru,Between 1 hour to 2 hours,Yes,Cold drinks,Between $10-$15,2,4,4,1,4,5,3,Emails,Yes
1729,Male,Below 20,Student,"$100,000-$150,000",Weekly,Dine in,Between 1 hour to 2 hours,No,Coffee,More than $20,2,4,5,1,5,5,2,Social Media;Emails,Yes
1730,Male,From 20 to 29,Housewife,"$100,000-$150,000",Monthly,Take away,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,2,1,4,2,1,4,4,Social Media,No
1731,Male,Above 40,Self-Employed,"$50,000 - $100,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,5,1,2,4,1,3,5,Through friends and word of mouth,No
1732,Female,From 20 to 29,Self-Employed,"$25,000 - $50,000",Weekly,Take away,Between 30 minutes to 1 hour,Yes,Cold drinks;Pastries;Sandwiches,Between $10-$15,2,4,5,1,4,3,2,Social Media;Through friends and word of mouth,Yes
1733,Female,From 20 to 29,Employed,"$100,000-$150,000",Never,Dine in,Below 30 minutes,Yes,Coffee;Juices;Pastries;Sandwiches,Between $10-$15,5,1,4,4,4,1,2,Through friends and word of mouth;In Store displays,Yes
1734,Female,From 20 to 29,Housewife,"Less than $25,000",Never,Take away,Below 30 minutes,Yes,Coffee;Cold drinks,Less than $10,5,2,5,4,3,1,4,Social Media;In Store displays;Billboards,No
1735,Male,From 30 to 39,Housewife,"$100,000-$150,000",Daily,Take away,More than 3 hours,No,Coffee,More than $20,4,3,2,3,2,1,5,Application offer,Yes
1736,Female,Above 40,Student,"$50,000 - $100,000",Never,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,2,2,4,2,1,3,1,Social Media,Yes
1737,Male,Below 20,Employed,"Less than $25,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,5,1,4,5,4,5,2,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,Yes
1738,Male,From 30 to 39,Student,"$100,000-$150,000",Daily,Take away,Between 1 hour to 2 hours,No,Coffee,More than $20,4,3,2,1,5,1,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1739,Male,Above 40,Student,"$100,000-$150,000",Weekly,Take away,More than 3 hours,No,Coffee;Pastries;Sandwiches,Between $15-$20,2,5,5,4,2,5,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1740,Female,From 30 to 39,Employed,"Less than $25,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Coffee;Pastries,Between $15-$20,3,5,4,3,1,5,2,In Store displays,Yes
1741,Female,From 20 to 29,Housewife,"$25,000 - $50,000",Weekly,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,2,4,4,3,1,5,1,Social Media,Yes
1742,Female,Above 40,Housewife,"$25,000 - $50,000",Weekly,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,4,3,1,4,5,2,4,Social Media,No
1743,Female,From 20 to 29,Housewife,"Less than $25,000",Weekly,Take away,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,4,1,5,4,2,3,3,Social Media;Through friends and word of mouth;Billboards,Yes
1744,Male,Above 40,Employed,"Less than $25,000",Monthly,never,More than 3 hours,No,Coffee,Between $15-$20,3,5,2,4,5,2,3,Social Media,No
1745,Male,Above 40,Self-Employed,"$100,000-$150,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Cold drinks,Less than $10,3,3,2,4,1,5,4,Social Media,No
1746,Male,Below 20,Housewife,"$50,000 - $100,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,2,2,2,2,4,2,2,Starbucks Website/Apps;Social Media,Yes
1747,Female,From 20 to 29,Self-Employed,"Less than $25,000",Rarely,Take away,Between 2 hours to 3 hours,No,Cold drinks;Juices;Pastries,Between $10-$15,1,5,1,3,1,2,3,In Store displays,Yes
1748,Male,Above 40,Employed,"Less than $25,000",Rarely,Take away,Below 30 minutes,Yes,Coffee,Less than $10,4,5,5,4,3,1,2,Starbucks Website/Apps;Social Media,Yes
1749,Female,From 30 to 39,Housewife,"$100,000-$150,000",Weekly,Drive-thru,Below 30 minutes,Yes,Coffee,More than $20,2,4,2,2,3,2,1,Social Media,Yes
1750,Male,From 30 to 39,Housewife,"Less than $25,000",Never,Dine in,More than 3 hours,Yes,Coffee,Between $10-$15,4,3,1,2,4,1,2,Starbucks Website/Apps;Social Media,Yes
1751,Male,From 30 to 39,Employed,"$100,000-$150,000",Daily,Dine in,Below 30 minutes,Yes,Coffee,Between $10-$15,3,2,2,4,5,5,2,Social Media,Yes
1752,Male,From 20 to 29,Student,"$100,000-$150,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee;Pastries,More than $20,2,3,3,2,1,3,3,Starbucks Website/Apps;Social Media;Emails;Billboards,No
1753,Female,Below 20,Self-Employed,"$100,000-$150,000",Never,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,5,1,3,5,2,1,5,Social Media,No
1754,Female,Above 40,Employed,"$50,000 - $100,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee;Pastries,Less than $10,1,1,3,1,3,1,3,Social Media,Yes
1755,Male,Below 20,Self-Employed,"More than $150,000",Never,Take away,Between 30 minutes to 1 hour,No,Cold drinks,Less than $10,1,4,5,1,2,4,4,Through friends and word of mouth,Yes
1756,Male,From 30 to 39,Student,"$25,000 - $50,000",Weekly,Drive-thru,More than 3 hours,Yes,Coffee,Less than $10,3,3,5,1,1,3,4,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes
1757,Female,Above 40,Employed,"Less than $25,000",Daily,Dine in,Below 30 minutes,Yes,Cold drinks,Between $15-$20,3,4,1,3,1,2,3,Social Media;Through friends and word of mouth,No
1758,Female,From 30 to 39,Student,"$50,000 - $100,000",Daily,Dine in,More than 3 hours,Yes,Cold drinks,More than $20,1,4,2,1,3,2,4,Social Media,Yes
1759,Female,From 20 to 29,Housewife,"$25,000 - $50,000",Never,Drive-thru,More than 3 hours,Yes,Coffee,Less than $10,3,1,3,4,4,1,4,Social Media;In Store displays,No
1760,Male,Above 40,Self-Employed,"More than $150,000",Never,Dine in,Between 2 hours to 3 hours,No,Cold drinks,More than $20,1,1,3,5,5,5,5,Social Media;Through friends and word of mouth,Yes
1761,Female,From 20 to 29,Self-Employed,"Less than $25,000",Never,Drive-thru,Below 30 minutes,No,Cold drinks;Juices;Pastries,Less than $10,5,2,1,5,1,3,4,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
1762,Female,Above 40,Employed,"Less than $25,000",Weekly,Dine in,Below 30 minutes,Yes,Coffee,Between $10-$15,5,5,2,4,3,3,5,Social Media,No
1763,Male,Below 20,Student,"$100,000-$150,000",Rarely,Take away,More than 3 hours,Yes,Coffee,Less than $10,4,5,4,5,4,1,3,Social Media;Through friends and word of mouth,Yes
1764,Male,Below 20,Student,"Less than $25,000",Never,Take away,More than 3 hours,Yes,Coffee,Between $15-$20,1,4,1,3,2,2,1,Starbucks Website/Apps,No
1765,Female,Below 20,Employed,"$100,000-$150,000",Daily,Dine in,Between 30 minutes to 1 hour,Yes,Coffee;Cold drinks,Between $15-$20,2,2,2,5,4,4,3,In Store displays,No
1766,Male,From 20 to 29,Employed,"$100,000-$150,000",Rarely,Dine in,More than 3 hours,Yes,Coffee,More than $20,3,1,4,4,3,3,5,Through friends and word of mouth,Yes
1767,Female,Below 20,Self-Employed,"$100,000-$150,000",Never,Never buy,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,3,1,4,5,4,3,2,Social Media,No
1768,Female,Below 20,Employed,"Less than $25,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,5,1,5,1,3,5,1,Starbucks Website/Apps;Social Media,No
1769,Male,From 20 to 29,Student,"$50,000 - $100,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,5,3,5,5,2,5,2,Social Media,No
1770,Female,Below 20,Employed,"Less than $25,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee;Cold drinks,Less than $10,2,3,5,4,4,3,4,In Store displays,No
1771,Female,Above 40,Housewife,"More than $150,000",Daily,Take away,Below 30 minutes,No,Coffee,Less than $10,2,1,3,4,5,4,3,Social Media,No
1772,Female,Below 20,Self-Employed,"$25,000 - $50,000",Never,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,2,5,5,3,3,4,3,Social Media;Through friends and word of mouth,No
1773,Female,From 30 to 39,Employed,"$100,000-$150,000",Weekly,Take away,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,3,4,2,1,2,1,1,Social Media,No
1774,Male,Below 20,Employed,"$25,000 - $50,000",Weekly,Drive-thru,Below 30 minutes,No,Coffee,Less than $10,3,4,3,4,5,4,1,Through friends and word of mouth,Yes
1775,Male,Below 20,Housewife,"$50,000 - $100,000",Weekly,Take away,More than 3 hours,No,Coffee;Cold drinks;Pastries;Sandwiches,More than $20,1,4,1,1,4,2,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1776,Male,From 30 to 39,Employed,"$25,000 - $50,000",Monthly,Take away,Between 1 hour to 2 hours,Yes,Never,More than $20,1,2,4,1,1,5,3,Never hear,No
1777,Female,Above 40,Student,"More than $150,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,1,2,5,3,3,4,2,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1778,Female,From 20 to 29,Housewife,"More than $150,000",Weekly,Take away,Between 30 minutes to 1 hour,Yes,Cold drinks,More than $20,3,2,2,5,5,4,1,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
1779,Male,From 30 to 39,Employed,"$25,000 - $50,000",Never,Take away,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,5,1,2,1,3,2,3,Social Media;Through friends and word of mouth,No
1780,Male,Above 40,Employed,"$100,000-$150,000",Rarely,Drive-thru,Below 30 minutes,No,Coffee;Sandwiches,Between $15-$20,2,2,3,5,4,2,4,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",Yes
1781,Male,Below 20,Housewife,"Less than $25,000",Daily,Drive-thru,More than 3 hours,Yes,Coffee,Between $10-$15,4,1,4,1,4,1,5,Through friends and word of mouth,Yes
1782,Female,From 30 to 39,Self-Employed,"$25,000 - $50,000",Weekly,Dine in,More than 3 hours,Yes,Cold drinks,Between $15-$20,3,1,2,1,4,2,5,Starbucks Website/Apps;Social Media,Yes
1783,Female,Above 40,Employed,"$50,000 - $100,000",Rarely,Take away,Below 30 minutes,No,Coffee;Cold drinks,More than $20,3,2,4,5,2,5,4,Social Media,No
1784,Female,Below 20,Self-Employed,"$100,000-$150,000",Never,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,3,4,1,4,3,4,4,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
1785,Male,Above 40,Self-Employed,"$100,000-$150,000",Never,Dine in,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,3,3,4,4,1,4,1,Social Media;Emails;Through friends and word of mouth,Yes
1786,Female,From 30 to 39,Self-Employed,"More than $150,000",Weekly,Drive-thru,Below 30 minutes,Yes,Coffee,More than $20,1,5,5,3,4,4,3,Social Media,No
1787,Male,Below 20,Housewife,"$100,000-$150,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,4,2,4,2,3,2,3,Social Media;Through friends and word of mouth,Yes
1788,Male,From 30 to 39,Self-Employed,"$50,000 - $100,000",Never,Take away,Below 30 minutes,No,Cold drinks,More than $20,3,1,2,1,3,5,4,"Social Media;Deal sites (fave, iprice, etc...)",No
1789,Male,Below 20,Self-Employed,"$50,000 - $100,000",Daily,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,1,4,3,3,2,5,2,Starbucks Website/Apps,No
1790,Female,From 20 to 29,Self-Employed,"$25,000 - $50,000",Never,Dine in,Between 1 hour to 2 hours,No,Never buy any,Between $10-$15,5,2,4,2,3,1,2,Starbucks Website/Apps,No
1791,Female,Below 20,Employed,"$25,000 - $50,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $10-$15,2,2,4,4,2,2,4,Starbucks Website/Apps,Yes
1792,Female,From 20 to 29,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,More than 3 hours,Yes,Coffee,More than $20,3,4,2,5,3,4,2,Social Media,No
1793,Female,Above 40,Self-Employed,"$50,000 - $100,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,Less than $10,5,4,2,4,3,1,3,In Store displays,No
1794,Female,Above 40,Employed,"Less than $25,000",Monthly,Take away,Between 30 minutes to 1 hour,No,Jaws chip ,Between $15-$20,4,1,4,1,4,5,3,Starbucks Website/Apps;Emails,Yes
1795,Male,From 30 to 39,Employed,"Less than $25,000",Daily,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,1,1,3,4,5,3,2,Social Media;Through friends and word of mouth,No
1796,Male,Below 20,Self-Employed,"$100,000-$150,000",Daily,Take away,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,5,1,2,3,4,5,5,Social Media;Through friends and word of mouth,No
1797,Female,Below 20,Student,"$100,000-$150,000",Monthly,I dont like coffee,Between 30 minutes to 1 hour,No,cake ,Between $15-$20,2,4,3,4,3,3,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1798,Male,Below 20,Employed,"$50,000 - $100,000",Daily,Drive-thru,Below 30 minutes,No,Cold drinks,More than $20,1,3,1,3,3,4,5,Starbucks Website/Apps,No
1799,Female,From 20 to 29,Self-Employed,"$100,000-$150,000",Never,Drive-thru,Below 30 minutes,Yes,Coffee,Between $10-$15,5,4,2,5,5,4,1,Emails,Yes
1800,Male,Below 20,Self-Employed,"$100,000-$150,000",Rarely,Drive-thru,Between 2 hours to 3 hours,No,Coffee;Pastries,Between $10-$15,3,3,4,3,4,2,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1801,Female,Below 20,Self-Employed,"More than $150,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,2,5,1,3,5,1,5,Social Media,Yes
1802,Male,Below 20,Employed,"$100,000-$150,000",Monthly,Drive-thru,Below 30 minutes,Yes,Coffee,Between $10-$15,2,3,1,1,2,4,5,Social Media;In Store displays,No
1803,Male,Below 20,Self-Employed,"$25,000 - $50,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,4,5,3,4,4,5,3,Social Media;Through friends and word of mouth,Yes
1804,Female,Above 40,Employed,"Less than $25,000",Daily,Drive-thru,More than 3 hours,No,Cold drinks,Between $10-$15,3,5,1,1,1,2,1,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
1805,Female,From 30 to 39,Housewife,"Less than $25,000",Daily,Drive-thru,Between 30 minutes to 1 hour,No,Cold drinks,Between $10-$15,1,2,1,4,5,4,1,Social Media;Through friends and word of mouth,Yes
1806,Female,From 30 to 39,Housewife,"$50,000 - $100,000",Monthly,Take away,More than 3 hours,Yes,Pastries,Between $10-$15,3,1,5,5,2,3,2,Social Media,Yes
1807,Female,Above 40,Self-Employed,"$50,000 - $100,000",Never,Never,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,5,3,4,4,1,1,4,Starbucks Website/Apps;Emails,Yes
1808,Female,Below 20,Employed,"$100,000-$150,000",Never,never,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,4,2,2,2,5,1,2,Social Media,No
1809,Male,From 20 to 29,Housewife,"Less than $25,000",Daily,Dine in,More than 3 hours,No,Cold drinks,Less than $10,4,2,5,5,1,1,4,Through friends and word of mouth,Yes
1810,Female,Below 20,Housewife,"$25,000 - $50,000",Never,Take away,More than 3 hours,Yes,Coffee,Between $10-$15,2,4,5,5,4,1,3,Through friends and word of mouth,Yes
1811,Female,Below 20,Student,"$25,000 - $50,000",Rarely,Take away,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,4,5,1,4,4,2,5,Social Media;Emails,No
1812,Female,From 30 to 39,Student,"$100,000-$150,000",Never,Never ,More than 3 hours,No,Coffee;Pastries,More than $20,4,1,2,3,5,4,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
1813,Male,Above 40,Employed,"$25,000 - $50,000",Daily,Take away,Between 1 hour to 2 hours,No,Pastries,Between $10-$15,3,5,5,5,4,5,2,Social Media;Emails,No
1814,Male,Below 20,Self-Employed,"More than $150,000",Monthly,Dine in,More than 3 hours,No,Cold drinks,More than $20,3,1,5,2,1,3,5,Starbucks Website/Apps,No
1815,Female,From 30 to 39,Housewife,"$100,000-$150,000",Monthly,Take away,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,2,4,2,5,1,4,1,Starbucks Website/Apps;Social Media,No
1816,Female,Above 40,Student,"Less than $25,000",Never,Dine in,Between 1 hour to 2 hours,Yes,Cold drinks;Never,Between $15-$20,3,4,1,5,3,2,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1817,Female,From 20 to 29,Housewife,"$50,000 - $100,000",Never,Dine in,More than 3 hours,Yes,never,Between $15-$20,2,2,3,4,2,1,3,Through friends and word of mouth,Yes
1818,Female,Above 40,Housewife,"$25,000 - $50,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee;Pastries,Between $10-$15,4,1,2,4,4,2,1,Social Media,No
1819,Female,From 30 to 39,Student,"$25,000 - $50,000",Rarely,Dine in,Below 30 minutes,No,Cold drinks,Between $10-$15,3,2,1,5,5,3,5,Social Media,Yes
1820,Male,From 20 to 29,Self-Employed,"Less than $25,000",Daily,Take away,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,1,2,3,2,3,2,2,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
1821,Male,Below 20,Student,"Less than $25,000",Rarely,Dine in,Between 1 hour to 2 hours,No,Nothing ,Between $15-$20,1,3,2,5,3,3,4,Billboards,No
1822,Male,Above 40,Housewife,"More than $150,000",Rarely,Dine in,Between 2 hours to 3 hours,No,Cold drinks,Between $10-$15,4,3,1,1,4,4,2,Social Media,No
1823,Female,Below 20,Housewife,"$25,000 - $50,000",Never,Take away,Between 30 minutes to 1 hour,No,Cold drinks,Between $10-$15,5,4,1,3,2,5,5,In Store displays,No
1824,Male,Above 40,Self-Employed,"$100,000-$150,000",Never,Take away,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,5,2,4,4,5,3,2,Social Media;Through friends and word of mouth,No
1825,Male,From 20 to 29,Self-Employed,"$50,000 - $100,000",Monthly,Never ,More than 3 hours,Yes,Cold drinks,More than $20,5,3,5,2,4,3,5,Social Media,Yes
1826,Female,From 30 to 39,Student,"$25,000 - $50,000",Weekly,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,3,3,5,2,1,1,5,Starbucks Website/Apps;Social Media,Yes
1827,Female,Above 40,Employed,"$50,000 - $100,000",Rarely,Dine in,Below 30 minutes,No,Coffee;Cold drinks;Juices;Pastries;Sandwiches,Less than $10,3,1,2,3,3,3,1,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes
1828,Female,Below 20,Housewife,"$25,000 - $50,000",Weekly,Take away,Below 30 minutes,No,Coffee;Cold drinks,Less than $10,2,1,1,5,5,5,4,Social Media;Through friends and word of mouth;In Store displays,Yes
1829,Male,Below 20,Housewife,"More than $150,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Coffee,More than $20,4,4,3,4,5,2,2,Social Media;Through friends and word of mouth;Billboards,No
1830,Male,From 30 to 39,Housewife,"Less than $25,000",Never,Dine in,More than 3 hours,Yes,Coffee,More than $20,5,2,2,5,1,3,1,In Store displays,No
1831,Female,From 20 to 29,Housewife,"More than $150,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,1,3,1,1,1,2,2,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",No
1832,Male,Below 20,Self-Employed,"$50,000 - $100,000",Daily,Dine in,Below 30 minutes,No,Cold drinks;Pastries,More than $20,4,4,4,5,2,3,2,Social Media;In Store displays,No
1833,Male,From 20 to 29,Self-Employed,"$100,000-$150,000",Daily,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,2,4,4,2,3,5,3,In Store displays;Billboards,Yes
1834,Male,Above 40,Housewife,"$100,000-$150,000",Daily,Dine in,Between 30 minutes to 1 hour,No,Coffee,More than $20,3,4,4,2,2,1,1,Through friends and word of mouth,Yes
1835,Female,Below 20,Employed,"$25,000 - $50,000",Never,Dine in,More than 3 hours,Yes,Coffee;Sandwiches,Between $10-$15,5,2,3,4,2,5,3,Starbucks Website/Apps;Social Media,Yes
1836,Female,From 30 to 39,Housewife,"Less than $25,000",Never,Take away,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $15-$20,2,5,5,3,3,1,1,Social Media,No
1837,Female,From 30 to 39,Employed,"Less than $25,000",Weekly,Take away,Between 2 hours to 3 hours,Yes,Coffee,More than $20,3,5,3,4,2,5,3,Starbucks Website/Apps;Social Media,No
1838,Female,From 30 to 39,Self-Employed,"$25,000 - $50,000",Weekly,Never ,Between 2 hours to 3 hours,No,Coffee;Cold drinks,Less than $10,4,1,3,5,3,1,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1839,Female,Above 40,Self-Employed,"$25,000 - $50,000",Rarely,Take away,More than 3 hours,Yes,Cold drinks,Between $15-$20,5,4,4,1,2,3,2,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1840,Male,Above 40,Housewife,"$100,000-$150,000",Rarely,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,2,4,2,3,4,5,2,Social Media;Through friends and word of mouth,Yes
1841,Male,Below 20,Self-Employed,"$25,000 - $50,000",Rarely,Take away,Between 30 minutes to 1 hour,No,Cold drinks,Less than $10,4,2,4,4,5,2,4,Social Media,No
1842,Female,Below 20,Student,"$50,000 - $100,000",Monthly,Dine in,More than 3 hours,No,Coffee,More than $20,3,2,4,4,2,1,2,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1843,Female,Above 40,Student,"$100,000-$150,000",Rarely,Dine in,Between 30 minutes to 1 hour,Yes,Coffee;Sandwiches,Between $15-$20,4,5,5,5,4,2,5,Social Media,No
1844,Male,Below 20,Self-Employed,"More than $150,000",Weekly,Dine in,Below 30 minutes,No,Coffee,Between $10-$15,4,1,5,5,2,4,2,Social Media,No
1845,Female,From 20 to 29,Employed,"$100,000-$150,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,2,2,4,4,5,1,5,Social Media;Through friends and word of mouth;In Store displays,No
1846,Male,From 30 to 39,Self-Employed,"$100,000-$150,000",Rarely,Take away,More than 3 hours,No,Coffee,Less than $10,4,1,3,1,3,5,5,Starbucks Website/Apps,No
1847,Female,From 30 to 39,Housewife,"$100,000-$150,000",Monthly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,2,5,1,5,5,2,3,Social Media,Yes
1848,Male,From 30 to 39,Student,"$100,000-$150,000",Never,Dine in,More than 3 hours,Yes,Coffee,Between $10-$15,3,2,2,2,4,2,1,Social Media;Through friends and word of mouth,No
1849,Male,Above 40,Employed,"$25,000 - $50,000",Daily,Dine in,More than 3 hours,Yes,Coffee,Between $15-$20,1,1,3,4,5,3,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1850,Male,From 30 to 39,Housewife,"$25,000 - $50,000",Never,Take away,Between 2 hours to 3 hours,No,Cold drinks,More than $20,3,3,5,1,3,3,4,Emails,No
1851,Female,From 20 to 29,Self-Employed,"$25,000 - $50,000",Daily,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,1,5,3,5,3,5,2,Social Media;Emails,Yes
1852,Male,From 30 to 39,Self-Employed,"$25,000 - $50,000",Monthly,Take away,Below 30 minutes,No,Coffee,Less than $10,2,3,2,4,3,2,1,Social Media,Yes
1853,Male,From 30 to 39,Housewife,"$100,000-$150,000",Rarely,Take away,More than 3 hours,Yes,Coffee,Between $10-$15,5,5,1,5,3,4,1,Through friends and word of mouth,No
1854,Male,From 20 to 29,Employed,"$50,000 - $100,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks;Pastries;Sandwiches,Between $10-$15,4,4,4,2,4,2,3,Social Media;Through friends and word of mouth,No
1855,Male,From 30 to 39,Employed,"$100,000-$150,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Coffee;Juices;Pastries;Sandwiches,Less than $10,5,1,1,3,5,2,5,Through friends and word of mouth;In Store displays,No
1856,Female,From 30 to 39,Student,"$50,000 - $100,000",Rarely,I dont like coffee,Between 2 hours to 3 hours,No,Coffee;Cold drinks,More than $20,5,1,4,4,5,3,1,Social Media;In Store displays;Billboards,Yes
1857,Male,Above 40,Employed,"$100,000-$150,000",Weekly,Drive-thru,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,3,3,4,3,4,5,3,Application offer,Yes
1858,Female,From 20 to 29,Employed,"$25,000 - $50,000",Daily,Drive-thru,Below 30 minutes,No,Coffee,Between $15-$20,2,4,5,1,5,5,2,Social Media,Yes
1859,Female,Above 40,Employed,"$25,000 - $50,000",Monthly,Drive-thru,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,5,5,5,2,3,2,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,Yes
1860,Female,Below 20,Student,"$25,000 - $50,000",Never,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,5,5,1,2,5,1,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1861,Female,Below 20,Self-Employed,"$50,000 - $100,000",Monthly,Drive-thru,Below 30 minutes,Yes,Coffee;Pastries;Sandwiches,Less than $10,5,4,1,1,1,3,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1862,Male,From 20 to 29,Self-Employed,"More than $150,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Coffee;Pastries,Between $15-$20,1,1,5,2,3,5,2,In Store displays,Yes
1863,Male,Below 20,Self-Employed,"Less than $25,000",Never,Drive-thru,Below 30 minutes,Yes,Coffee,More than $20,5,4,5,4,3,5,1,Social Media,No
